Nationality,A,B-1,B-2,"B-1,2","B-1,2 / BCC",C,C-1/D,CW,D,E,F,G,H,I,J
Greece,329.0,97.0,4.0,729.0,0.0,0.0,1364.0,0.0,0.0,28.0,948.0,131.0,631.0,36.0,829.0
Grenada,41.0,0.0,0.0,1285.0,0.0,16.0,108.0,0.0,0.0,78.0,72.0,15.0,16.0,0.0,20.0
Guatemala,448.0,23.0,4.0,50452.0,0.0,96.0,146.0,0.0,0.0,3.0,722.0,81.0,9381.0,21.0,309.0
Guyana,113.0,44.0,2.0,6560.0,0.0,153.0,445.0,0.0,0.0,0.0,133.0,26.0,25.0,8.0,79.0
Haiti,161.0,7.0,5.0,12362.0,0.0,181.0,52.0,0.0,0.0,1.0,270.0,80.0,37.0,15.0,150.0
Honduras,471.0,107.0,60.0,36831.0,0.0,180.0,1057.0,0.0,1.0,72.0,974.0,85.0,5258.0,77.0,595.0
Hong Kong S.A.R.,0.0,5.0,2.0,16734.0,0.0,1.0,428.0,0.0,0.0,13.0,1985.0,30.0,162.0,5.0,577.0
Hungary,491.0,84.0,3.0,2318.0,0.0,0.0,256.0,0.0,0.0,7.0,370.0,143.0,239.0,27.0,1818.0
Iceland,34.0,0.0,0.0,541.0,0.0,0.0,450.0,0.0,0.0,0.0,250.0,30.0,45.0,1.0,101.0
India,1711.0,533.0,114.0,264515.0,0.0,442.0,32548.0,6.0,0.0,197.0,118221.0,1125.0,282927.0,72.0,13672.0
Indonesia,3008.0,446.0,15.0,57513.0,0.0,149.0,25194.0,0.0,1.0,23.0,2518.0,702.0,322.0,34.0,2319.0
Iran,4.0,20.0,1.0,4260.0,0.0,4.0,9.0,0.0,1.0,3.0,4202.0,361.0,132.0,8.0,1108.0
Iraq,673.0,107.0,0.0,3232.0,0.0,0.0,8.0,0.0,0.0,0.0,251.0,165.0,55.0,3.0,354.0
Ireland,351.0,82.0,17.0,1286.0,0.0,0.0,999.0,0.0,1.0,302.0,777.0,138.0,837.0,145.0,7199.0
Israel,3021.0,7.0,1929.0,125309.0,0.0,6.0,470.0,0.0,0.0,691.0,1191.0,85.0,565.0,38.0,4601.0
Italy,540.0,1447.0,7.0,5008.0,0.0,8.0,2436.0,0.0,0.0,1207.0,6050.0,667.0,1382.0,204.0,9468.0
Jamaica,293.0,229.0,59.0,24922.0,0.0,292.0,1336.0,0.0,1.0,6.0,1360.0,101.0,18306.0,23.0,8185.0
Japan,4760.0,142.0,2.0,3237.0,0.0,382.0,2801.0,18.0,0.0,16443.0,12089.0,440.0,1262.0,795.0,6942.0
Jordan,1697.0,31.0,20.0,16219.0,0.0,2.0,258.0,0.0,2.0,19.0,1507.0,167.0,480.0,15.0,1749.0
Kazakhstan,223.0,20.0,1.0,14385.0,0.0,81.0,0.0,0.0,196.0,98.0,1644.0,239.0,121.0,32.0,3240.0
Kiribati,29.0,0.0,0.0,16.0,0.0,18.0,1.0,0.0,0.0,0.0,8.0,20.0,0.0,0.0,28.0
"Korea, North",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0
"Korea, South",2970.0,6.0,0.0,5708.0,0.0,43.0,2259.0,124.0,0.0,3553.0,20225.0,370.0,2922.0,297.0,12581.0
Kosovo,290.0,3.0,0.0,4572.0,0.0,9.0,8.0,0.0,0.0,1.0,96.0,55.0,16.0,13.0,403.0
Kuwait,426.0,1.0,0.0,16140.0,0.0,0.0,93.0,0.0,0.0,0.0,1722.0,87.0,24.0,6.0,93.0
Kyrgyzstan,125.0,12.0,1.0,3098.0,0.0,114.0,0.0,0.0,141.0,5.0,755.0,153.0,43.0,38.0,391.0
Laos,89.0,3.0,0.0,959.0,0.0,1.0,0.0,0.0,0.0,0.0,64.0,84.0,0.0,0.0,83.0
Latvia,114.0,2.0,5.0,358.0,0.0,0.0,765.0,0.0,0.0,16.0,123.0,35.0,47.0,8.0,359.0
Lebanon,285.0,29.0,16.0,14154.0,0.0,4.0,192.0,0.0,0.0,3.0,597.0,160.0,374.0,42.0,746.0
Lesotho,45.0,1.0,0.0,76.0,0.0,1.0,2.0,0.0,0.0,0.0,19.0,45.0,1.0,0.0,33.0
Liberia,163.0,3.0,2.0,664.0,0.0,1.0,14.0,0.0,0.0,0.0,138.0,130.0,1.0,0.0,74.0
Libya,160.0,11.0,6.0,568.0,0.0,2.0,1.0,0.0,21.0,0.0,308.0,198.0,29.0,0.0,116.0
Liechtenstein,9.0,0.0,1.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,13.0,5.0,3.0,0.0,8.0
Lithuania,228.0,28.0,0.0,436.0,0.0,0.0,296.0,0.0,0.0,90.0,212.0,51.0,153.0,21.0,753.0
Luxembourg,40.0,0.0,0.0,95.0,0.0,0.0,39.0,0.0,0.0,6.0,56.0,34.0,9.0,1.0,55.0
